- User-space buf. size: 200
- syscall return val:   319
- User-space buf. size: 400
- syscall return val:   319
--- OK ---

#comm,pid,ppid,fcldpid,nsblpid,nvcsw,nivcsw,stime
swapper/0,0,0,1,0,0,18532,0
-systemd,1,0,413,2,2694,3901,15
--systemd-journal,413,1,0,433,1218,382,382
--systemd-oomd,433,1,0,452,773,101,384
--systemd-timesyn,452,1,0,461,89,33,394
--vmware-vmblock-,461,1,0,464,1,1,397
--systemd-udevd,464,1,0,470,1547,250,398
--systemd-resolve,470,1,0,1361,174,31,403
--VGAuthService,1361,1,0,1364,46,7,545
--vmtoolsd,1364,1,0,1489,9032,112,547
--avahi-daemon,1489,1,1557,1490,375,39,619
---avahi-daemon,1557,1489,0,0,3,0,638
--dbus-daemon,1490,1,0,1494,1920,777,619
--gnome-remote-de,1494,1,0,1498,112,30,623
--polkitd,1498,1,0,1513,600,293,625
--snapd,1513,1,0,1518,476,162,627
--accounts-daemon,1518,1,0,1523,115,104,629
--cron,1523,1,0,1524,26,20,631
--switcheroo-cont,1524,1,0,1531,40,45,631
--systemd-logind,1531,1,0,1532,1409,217,633
--udisksd,1532,1,0,1545,191,101,633
--rsyslogd,1545,1,0,1587,30,23,636
--NetworkManager,1587,1,0,1593,329,309,647
--wpa_supplicant,1593,1,0,1622,113,46,647
--ModemManager,1622,1,0,1722,179,68,651
--cupsd,1722,1,0,1728,90,34,725
--unattended-upgr,1728,1,0,1743,114,72,727
--gdm3,1743,1,1753,1747,71,55,738
---gdm-session-wor,1753,1743,1853,0,92,22,743
----gdm-wayland-ses,1853,1753,1919,0,22,24,778
-----dbus-run-sessio,1919,1853,1922,0,3,5,787
------dbus-daemon,1922,1919,0,1931,873,380,787
------gnome-session-b,1931,1919,1979,0,349,222,788
-------gnome-shell,1979,1931,2038,2089,8224,1299,802
--------Xwayland,2038,1979,0,2295,381,71,903
--------mutter-x11-fram,2295,1979,0,2296,134,150,991
--------ibus-daemon,2296,1979,2312,0,68,60,992
---------ibus-dconf,2312,2296,0,2366,6,9,995
---------ibus-engine-sim,2366,2296,0,0,8,12,1019
-------gsd-sharing,2089,1931,0,2098,36,35,960
-------gsd-wacom,2098,1931,0,2105,182,120,961
-------gsd-color,2105,1931,0,2109,395,80,961
-------gsd-keyboard,2109,1931,0,2123,376,50,962
-------gsd-print-notif,2123,1931,0,2128,62,40,964
-------gsd-rfkill,2128,1931,0,2133,48,21,964
-------gsd-smartcard,2133,1931,0,2148,56,10,965
-------gsd-datetime,2148,1931,0,2157,32,32,967
-------gsd-media-keys,2157,1931,0,2171,228,100,968
-------gsd-screensaver,2171,1931,0,2174,46,25,968
-------gsd-sound,2174,1931,0,2180,42,58,969
-------gsd-a11y-settin,2180,1931,0,2190,28,24,970
-------gsd-housekeepin,2190,1931,0,2193,48,28,971
-------gsd-power,2193,1931,0,0,221,163,971
--cups-browsed,1747,1,0,1802,206,22,741
--systemd,1802,1,1804,1824,180,216,752
---(sd-pam),1804,1802,0,1844,1,0,756
---mpris-proxy,1844,1802,0,1847,36,11,776
---pipewire,1847,1802,0,1848,175,85,778
---pipewire,1848,1802,0,1862,15,27,778
---wireplumber,1862,1802,0,1864,312,248,779
---pipewire-pulse,1864,1802,0,1866,87,100,779
---dbus-daemon,1866,1802,0,1938,144,72,780
---xdg-document-po,1938,1802,1957,1946,30,19,789
----fusermount3,1957,1938,0,0,4,10,794
---xdg-permission-,1946,1802,0,2432,13,5,792
---gnome-keyring-d,2432,1802,0,0,21,7,1062
--power-profiles-,1824,1,0,1909,90,34,768
--rtkit-daemon,1909,1,0,2031,71,34,786
--at-spi-bus-laun,2031,1,2037,2040,28,7,901
---dbus-daemon,2037,2031,0,0,61,17,901
--colord,2042,1,0,2076,138,19,914
--at-spi2-registr,2040,1,0,2042,68,22,914
--xdg-permission-,2076,1,0,2084,11,5,953
--upowerd,2087,1,0,2314,98,63,960
--gjs,2084,1,0,2087,27,151,959
--ibus-x11,2314,1,0,2316,115,51,996
--ibus-portal,2316,1,0,2337,75,3,996
--gjs,2369,1,0,2401,43,47,1020
--gsd-printer,2401,1,0,2423,23,13,1034
--xdg-desktop-por,2352,1,0,2369,127,158,1010
--xdg-desktop-por,2423,1,0,2444,59,53,1046
--sshd,2444,1,2446,2450,10,0,1374
---sshd-session,2446,2444,2619,2698,54,2,1376
----sshd-session,2619,2446,2620,0,13851,113,1433
-----bash,2620,2619,0,0,867,247,1438
---sshd-session,2698,2444,2732,0,28,2,1575
----sshd-session,2732,2698,2733,0,6038,125,1594
-----bash,2733,2732,3311,0,326,132,1598
------test_k22tree,3311,2733,0,0,1,1,79182
--systemd,2450,1,2451,0,75,91,1395
---(sd-pam),2451,2450,0,2460,1,3,1398
---mpris-proxy,2460,2450,0,2461,36,14,1416
---pipewire,2461,2450,0,2462,51,25,1416
---pipewire,2462,2450,0,2466,6,24,1417
---snapd-desktop-i,2466,2450,2693,2467,529,397,1417
----snapd-desktop-i,2693,2466,0,0,316,274,1520
---wireplumber,2467,2450,0,2468,34,146,1417
---pipewire-pulse,2468,2450,0,2469,28,34,1417
---dbus-daemon,2469,2450,0,2531,55,58,1418
---xdg-document-po,2531,2450,2570,2554,21,34,1426
----fusermount3,2570,2531,0,0,1,4,1429
---xdg-permission-,2554,2450,0,0,7,2,1428
--xdg-desktop-por,2337,1,0,2352,152,29,1006
-kthreadd,2,0,3,1,262,2,15
--pool_workqueue_,3,2,0,16,6,1,15
--kworker/R-rcu_g,4,2,0,16,2,0,15
--kworker/R-sync_,5,2,0,16,2,0,15
--kworker/R-kvfre,6,2,0,16,2,0,15
